subject,body,category
Refund Request,I subscription renewed unexpectedly regarding my annual plan.,Billing
Feedback,I need regarding my contact information.,General
Offer Letter,I unable to access regarding my WFH approval.,HR
Help,I want regarding my documentation.,General
Website Bug,I upload fails regarding my on mobile app.,Technical
Password Reset,I app crashes regarding my after update.,Technical
Suggestion,I appreciate regarding my documentation.,General
General Question,I thank you for regarding my office timings.,General
Login Issue,I website freezes regarding my during checkout.,Technical
General Question,I want regarding my office timings.,General
Refund Request,I charged twice regarding my invoice.,Billing
Holiday List,I unable to access regarding my salary slip.,HR
Double Charge,I subscription renewed unexpectedly regarding my monthly subscription.,Billing
Resignation,I need regarding my holiday calendar.,HR
Server Error,I password reset not working regarding my after update.,Technical
Resignation,I waiting for regarding my annual leave.,HR
Holiday List,I waiting for regarding my holiday calendar.,HR
Website Bug,I password reset not working regarding my after entering password.,Technical
Payment Failed,I charged twice regarding my GST invoice.,Billing
Working Hours,I can you provide regarding my contact information.,General
Working Hours,I appreciate regarding my general information.,General
Suggestion,I looking for regarding my office timings.,General
Double Charge,I subscription renewed unexpectedly regarding my GST invoice.,Billing
Working Hours,I need regarding my documentation.,General
Offer Letter,I missing regarding my WFH approval.,HR
Work From Home,I missing regarding my holiday calendar.,HR
Server Error,I cannot login regarding my during checkout.,Technical
Suggestion,I looking for regarding my general information.,General
Thank You,I want regarding my contact information.,General
Suggestion,I appreciate regarding my documentation.,General
Login Issue,I website freezes regarding my while uploading files.,Technical
Feedback,I appreciate regarding my contact information.,General
Subscription Problem,I billed incorrectly regarding my invoice.,Billing
Login Issue,I website freezes regarding my after entering password.,Technical
Performance Issue,I website freezes regarding my during checkout.,Technical
Performance Issue,I app crashes regarding my on Chrome browser.,Technical
Holiday List,I want to apply for regarding my salary slip.,HR
Help,I thank you for regarding my help regarding services.,General
Suggestion,I want regarding my customer support.,General
App Crash,I cannot login regarding my on Chrome browser.,Technical
Double Charge,I invoice missing regarding my credit card payment.,Billing
Offer Letter,I request regarding my annual leave.,HR
Work From Home,I unable to access regarding my attendance correction.,HR
Double Charge,I subscription renewed unexpectedly regarding my credit card payment.,Billing
Website Bug,I website freezes regarding my on Chrome browser.,Technical
Work From Home,I missing regarding my annual leave.,HR
App Crash,I password reset not working regarding my after update.,Technical
Refund Request,I subscription renewed unexpectedly regarding my credit card payment.,Billing
Dashboard Error,I dashboard shows error regarding my during checkout.,Technical
Documentation,I appreciate regarding my contact information.,General
Suggestion,I appreciate regarding my contact information.,General
Payment Pending,I charged twice regarding my credit card payment.,Billing
Double Charge,I invoice missing regarding my annual plan.,Billing
Password Reset,I website freezes regarding my on mobile app.,Technical
Refund Request,I payment failed regarding my premium account.,Billing
Website Bug,I cannot login regarding my after entering password.,Technical
App Crash,I dashboard shows error regarding my on mobile app.,Technical
Documentation,I can you provide regarding my office timings.,General
Thank You,I need regarding my office timings.,General
Documentation,I appreciate regarding my help regarding services.,General
Password Reset,I app crashes regarding my on Chrome browser.,Technical
Login Issue,I website freezes regarding my after entering password.,Technical
Login Issue,I server unavailable regarding my after entering password.,Technical
